nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2018,laki_laki,perdesaan,29.78228081
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2018,laki_laki,perdesaan,27.3200957
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2018,laki_laki,perdesaan,26.57212663
Keluhan Kesehatan Masyarakat,Gorontalo,2018,laki_laki,perdesaan,37.02626484
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2018,laki_laki,perdesaan,27.92194701
Keluhan Kesehatan Masyarakat,Maluku,2018,laki_laki,perdesaan,20.20784922
Keluhan Kesehatan Masyarakat,Maluku Utara,2018,laki_laki,perdesaan,19.03682036
Keluhan Kesehatan Masyarakat,Papua Barat,2018,laki_laki,perdesaan,22.09638701
Keluhan Kesehatan Masyarakat,Papua,2018,laki_laki,perdesaan,16.38931408
Keluhan Kesehatan Masyarakat,INDONESIA,2018,laki_laki,perdesaan,29.8604789
Keluhan Kesehatan Masyarakat,Aceh,2018,laki_laki,gabungan,27.59014498
Keluhan Kesehatan Masyarakat,Sumatera Utara,2018,laki_laki,gabungan,23.58996581
Keluhan Kesehatan Masyarakat,Sumatera Barat,2018,laki_laki,gabungan,27.1405555
Keluhan Kesehatan Masyarakat,Riau,2018,laki_laki,gabungan,28.73155857
Keluhan Kesehatan Masyarakat,Jambi,2018,laki_laki,gabungan,21.35823437
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2018,laki_laki,gabungan,26.80762895
Keluhan Kesehatan Masyarakat,Bengkulu,2018,laki_laki,gabungan,25.80687379
Keluhan Kesehatan Masyarakat,Lampung,2018,laki_laki,gabungan,29.43464104
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2018,laki_laki,gabungan,26.88256385
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2018,laki_laki,gabungan,21.43315266
Keluhan Kesehatan Masyarakat,DKI Jakarta,2018,laki_laki,gabungan,26.91834167
Keluhan Kesehatan Masyarakat,Jawa Barat,2018,laki_laki,gabungan,29.48831934
